#Amsterdam,Berlin,Delhi,London,Melbourne,Montpellier,Mumbai,Munich,Paris,Pune
18.35,21.16,30.15,14.2,10.29,27.85,26.41,21.99,20.23,23.73
15.92,21.51,30.17,14.68,9.55,24.68,26.38,18.28,16.67,23.95
15.36,17.0,29.36,13.4,7.99,25.43,26.41,15.45,15.99,24.16
16.42,18.17,29.31,16.22,8.31,25.13,26.39,16.58,17.96,23.82
15.87,17.66,29.28,14.91,8.8,24.17,26.09,16.64,15.41,23.11
14.26,16.88,29.01,13.88,8.08,25.26,26.07,15.69,15.5,23.1
13.93,16.07,30.35,13.6,8.2,22.96,26.31,14.76,14.98,23.6
14.56,15.26,29.58,15.05,7.74,22.74,26.55,15.94,15.32,23.66
15.55,18.25,29.27,15.21,8.46,23.33,26.61,16.61,17.33,23.74
17.6,22.16,28.98,17.21,8.6,23.67,26.55,16.85,20.15,23.88
19.55,24.38,28.81,18.37,7.45,23.91,26.31,19.41,24.17,23.59
17.65,26.76,31.78,16.32,7.05,26.69,26.2,21.42,19.53,23.5
18.35,21.6,32.46,16.19,8.19,26.58,26.12,21.14,21.53,23.35
19.25,25.99,31.91,17.33,9.21,26.32,26.34,24.51,22.24,23.83
19.2,28.9,30.7,17.52,9.35,26.43,26.72,26.6,20.65,24.2
17.87,25.93,29.76,18.39,9.13,26.0,26.65,24.66,20.48,24.27
18.18,22.75,28.2,18.56,8.95,22.2,26.54,24.1,19.25,24.21
19.51,25.1,30.43,19.02,9.26,23.45,26.56,22.48,20.73,23.93
18.94,26.81,29.89,16.07,8.99,24.46,25.96,22.22,22.3,23.07
18.38,23.19,29.7,17.18,9.06,25.17,26.14,25.05,23.94,23.13
20.69,23.97,30.42,18.59,9.24,23.37,26.4,25.16,22.94,23.78
20.69,27.16,30.97,18.37,10.27,21.17,26.65,23.26,20.31,24.16
18.1,24.45,30.18,15.52,10.01,20.22,26.83,19.82,16.79,24.39
16.1,23.33,29.2,15.25,10.23,20.81,26.66,15.4,16.3,23.99
15.84,21.46,29.81,15.87,8.99,21.64,26.46,13.89,15.82,24.26
15.95,18.41,30.22,15.28,7.75,21.56,26.92,15.65,15.67,24.71
17.19,19.12,29.33,15.82,9.09,22.11,27.32,14.0,18.12,25.07
18.57,19.94,28.9,18.34,9.55,23.56,26.88,14.73,18.02,24.24
19.7,20.59,28.41,19.59,12.47,24.07,26.54,15.84,21.12,24.01
19.74,20.44,28.44,20.67,11.93,21.94,26.68,16.21,22.14,23.76
19.15,19.57,28.02,17.23,9.92,21.91,26.65,17.81,18.77,23.63
18.09,20.8,28.0,14.26,9.74,22.15,26.38,19.77,16.97,23.67
16.79,18.36,28.34,14.55,9.78,21.05,26.35,15.12,16.37,23.84
19.27,19.94,28.67,16.83,9.79,21.55,26.64,17.52,20.52,24.09
15.96,20.68,29.05,14.77,9.37,22.23,26.41,21.93,15.09,24.01
16.27,17.54,29.6,14.48,9.35,22.65,26.52,22.07,17.06,23.94
17.11,19.04,29.47,15.66,8.77,22.68,26.62,22.29,21.17,23.99
19.03,24.03,29.46,16.68,9.08,22.71,26.54,23.93,23.74,23.87
19.52,26.66,28.7,14.41,8.76,23.55,26.16,23.14,21.9,22.73
15.54,21.77,28.63,13.73,9.89,22.99,26.21,21.36,16.79,23.18
14.04,16.65,28.29,12.83,11.08,21.28,26.05,13.76,14.58,22.94
12.88,15.77,28.34,11.59,10.32,20.01,26.26,13.52,13.24,23.26
14.54,14.32,28.1,11.92,9.44,19.81,26.56,14.26,12.59,24.04
13.99,13.8,28.1,11.64,10.12,18.6,26.41,10.28,13.21,24.14
13.92,13.24,28.6,11.7,9.42,19.04,26.53,9.73,12.24,23.84
14.9,13.23,28.95,12.75,8.64,18.86,26.34,9.81,13.92,23.47
14.55,14.38,29.19,12.79,9.63,19.11,26.8,11.4,14.45,23.01
14.37,13.29,29.28,14.32,10.44,19.94,26.69,11.16,15.09,23.54
13.97,14.09,29.13,14.66,11.09,19.54,26.76,10.07,14.72,24.48
13.94,14.72,29.26,15.14,11.56,19.98,27.36,12.57,15.59,25.18
14.51,16.42,30.55,15.56,13.47,21.32,27.19,15.37,16.0,24.85
15.24,18.81,31.08,11.8,15.44,21.7,26.49,16.32,14.57,23.85
15.08,17.58,31.81,13.16,16.61,19.71,26.68,13.45,14.39,24.09
12.57,15.24,31.83,12.9,11.93,19.4,26.48,13.79,14.27,23.66
14.5,16.88,31.16,12.7,9.88,22.34,26.98,18.2,17.03,23.97
14.41,18.57,32.06,12.92,10.61,20.82,26.93,17.65,14.27,24.12
14.02,15.14,29.72,13.23,11.22,18.37,26.7,12.93,13.28,23.66
13.59,14.81,29.97,12.87,12.36,18.22,26.77,13.35,13.19,23.76
14.2,12.46,30.84,13.33,14.33,18.4,26.42,11.11,12.87,23.38
14.76,12.36,30.56,12.18,12.16,18.25,26.37,11.24,12.8,23.54
12.99,14.19,29.99,10.81,9.44,17.71,26.23,12.06,12.84,23.53
13.34,12.6,27.63,12.25,8.98,16.02,26.45,9.0,12.6,23.46
13.45,13.14,26.77,13.49,10.36,17.34,26.52,9.75,12.78,23.79
12.97,13.23,26.63,11.47,11.52,18.28,25.79,11.24,13.25,23.15
12.85,12.17,28.21,10.84,11.51,18.04,24.91,11.46,12.3,22.36
12.56,11.61,28.33,11.63,13.02,18.5,25.02,9.58,12.45,22.42
12.64,11.8,27.93,12.09,13.03,18.61,26.04,7.96,11.55,22.99
12.07,11.42,27.13,12.66,11.52,17.05,27.41,7.79,11.89,24.35
12.11,10.72,26.96,12.21,11.28,17.31,27.84,7.01,11.47,24.86
11.61,10.79,27.23,12.02,13.35,16.17,28.2,7.84,9.96,25.06
11.23,11.49,27.03,11.06,16.71,16.57,27.95,11.05,10.88,25.0
11.12,12.84,27.97,10.88,19.8,16.67,26.85,13.44,13.82,24.47
12.37,13.75,28.27,11.03,18.28,14.33,26.7,10.45,12.87,24.13
12.24,13.6,29.61,14.62,20.96,17.76,27.94,11.96,14.07,24.88
14.53,13.07,28.34,14.8,20.34,20.02,27.95,14.62,15.69,24.16
14.54,13.46,27.83,12.16,12.45,16.58,27.69,11.95,12.87,23.99
13.37,7.81,27.84,11.03,13.57,16.24,27.51,10.69,11.15,24.44
12.8,7.98,28.24,10.45,18.61,16.6,27.28,10.6,10.67,24.98
10.79,5.66,28.39,11.72,19.35,17.69,27.2,9.24,11.51,24.13
6.85,3.78,28.7,10.42,17.51,15.94,26.93,6.71,10.46,24.11
5.11,3.15,28.66,9.29,12.09,16.56,27.64,4.76,8.27,24.36
6.49,3.38,28.2,8.34,13.05,16.25,27.95,7.35,7.11,24.47
6.59,3.88,27.23,8.34,18.11,11.2,28.52,3.49,5.39,24.96
7.38,5.7,27.16,8.89,21.74,9.82,27.32,2.42,4.56,24.25
8.5,6.9,28.09,9.81,17.41,10.26,27.11,2.11,5.71,24.01
9.28,6.7,27.51,10.04,14.13,11.26,27.74,4.39,8.1,24.71
10.01,6.24,28.4,10.35,13.78,15.24,27.92,4.97,7.45,24.76
11.09,7.29,29.11,10.12,15.58,14.27,27.91,4.25,7.81,24.44
10.34,8.24,28.34,9.02,20.37,13.03,27.51,3.76,8.56,23.93
10.3,7.17,25.53,10.65,15.36,12.65,27.6,5.08,9.1,24.56
12.11,8.02,23.64,10.82,12.83,13.23,27.49,5.51,11.66,24.76
11.33,9.35,23.65,9.34,12.18,14.83,27.77,6.94,10.84,24.85
10.78,7.53,25.33,10.63,13.11,14.31,28.18,8.15,10.5,25.32
10.33,8.41,25.23,5.59,19.8,14.96,28.78,9.93,9.83,24.9
9.99,7.02,24.61,10.46,14.46,15.61,27.32,8.62,9.7,23.59
10.76,6.87,23.48,12.16,15.38,16.8,26.49,7.52,12.65,22.68
10.33,6.04,19.16,11.34,17.92,16.17,27.07,7.73,11.41,23.93
10.36,6.42,21.08,11.87,17.61,14.12,26.75,7.31,10.1,23.71
10.01,7.3,22.0,12.64,18.88,13.7,26.22,7.75,10.61,23.45
9.48,8.29,22.86,10.99,19.5,14.61,25.7,7.99,10.02,23.0
7.81,7.15,22.95,10.35,19.56,14.54,26.28,6.99,9.93,22.93
8.32,6.37,23.31,9.29,13.67,14.95,26.15,6.71,7.48,22.83
9.37,4.04,23.89,10.06,14.23,17.0,25.88,7.0,9.94,22.65
10.61,3.4,24.64,11.03,18.19,16.3,26.07,9.23,12.74,22.99
11.99,8.28,24.93,13.11,19.1,14.83,26.38,9.68,13.18,23.08
13.83,10.06,24.05,14.11,16.23,15.7,26.3,10.54,14.72,23.08
14.5,13.79,22.38,13.74,13.11,15.47,25.82,12.1,15.34,22.92
12.45,11.94,22.26,12.05,15.85,15.09,25.72,12.48,14.52,22.85
12.59,12.02,23.55,11.74,22.21,16.63,25.89,13.16,12.35,22.73
13.76,12.88,23.48,13.53,13.69,15.15,24.76,11.95,9.7,21.13
12.39,12.26,22.25,12.38,14.98,15.04,25.18,9.01,10.34,22.06
12.25,10.12,21.69,11.69,17.15,13.69,25.52,6.95,11.53,22.22
11.07,9.77,22.37,8.58,14.75,13.54,24.9,7.65,10.74,21.51
9.85,6.6,22.78,9.26,14.42,13.15,24.78,6.46,8.43,21.75
13.29,9.27,23.53,13.47,15.05,15.4,24.58,10.03,11.66,21.26
11.53,10.46,21.67,11.52,18.36,15.05,24.62,10.04,11.9,21.94
12.32,10.8,19.34,12.94,21.09,13.27,24.57,10.14,14.48,21.61
12.03,10.75,18.67,10.88,20.54,15.4,24.11,11.35,12.55,20.64
10.87,10.22,18.87,9.71,21.6,14.83,23.79,9.97,13.39,20.75
7.84,6.47,19.57,5.93,16.61,15.62,24.98,10.08,9.05,22.36
5.6,3.57,19.93,2.17,14.47,10.55,26.52,1.67,4.41,23.19
4.95,0.78,19.99,0.41,15.77,6.21,25.35,-1.27,2.85,22.44
5.13,-1.21,19.82,2.24,16.2,5.29,25.07,-1.25,1.61,21.62
4.03,-0.56,19.19,7.03,17.76,5.14,25.57,-1.6,2.06,21.59
6.59,0.72,20.32,5.79,21.82,8.62,25.85,0.1,5.78,22.45
5.7,2.45,20.96,6.33,13.47,8.31,26.28,-0.62,4.39,22.28
4.78,1.11,20.68,9.41,14.11,6.57,25.69,-1.49,3.18,22.26
6.61,-0.58,20.37,5.27,15.68,7.8,24.75,-1.6,5.35,21.67
9.88,4.09,19.69,9.66,15.21,8.59,25.07,1.47,9.6,21.39
8.5,5.24,20.18,9.59,21.0,9.44,25.39,6.56,10.18,22.1
8.08,4.53,20.37,10.95,16.35,10.06,25.74,6.54,10.01,22.4
9.33,7.64,18.1,10.34,13.7,9.93,25.85,6.27,7.13,22.31
8.43,5.08,18.21,10.55,16.1,9.43,25.13,3.87,5.47,21.75
8.54,4.43,18.16,8.12,20.25,11.36,24.79,3.69,6.71,20.87
7.07,4.09,18.95,10.65,20.44,10.21,24.44,5.22,3.19,20.48
9.36,5.91,19.21,11.55,21.9,11.38,24.01,5.0,6.6,20.04
9.17,8.92,19.66,10.86,22.29,11.99,24.08,4.14,7.96,19.93
8.17,6.28,20.13,9.69,24.36,12.84,23.76,2.35,7.34,20.07
7.39,5.12,18.52,7.28,18.67,9.82,24.06,2.17,4.85,19.64
