#Amsterdam,Berlin,Delhi,London,Melbourne,Montpellier,Mumbai,Munich,Paris,Pune
8.69,7.92,19.89,7.13,15.04,11.02,24.42,5.87,9.6,20.78
5.91,3.97,18.32,2.76,15.1,10.98,25.23,4.56,6.7,21.53
4.48,0.94,16.88,2.94,13.25,9.52,25.59,-0.37,3.05,21.91
2.19,2.51,15.73,3.05,12.49,10.54,25.77,-0.85,1.52,22.15
6.04,1.9,15.02,1.23,11.49,7.86,26.23,-1.0,1.29,21.64
6.06,2.18,15.21,3.25,14.66,6.88,25.75,-1.58,1.66,21.3
3.36,2.46,15.45,2.47,15.37,8.72,25.82,-1.32,0.96,21.47
3.17,-0.55,16.07,4.49,15.87,9.86,25.12,-0.01,-1.3,21.46
6.49,0.35,16.89,9.88,14.9,10.66,24.04,0.45,3.05,20.17
8.18,6.39,17.61,7.75,14.79,9.02,24.25,3.0,7.04,19.94
8.71,6.77,17.15,8.16,17.56,9.8,23.91,3.13,8.85,20.46
6.87,5.67,15.48,5.02,22.15,9.8,24.77,4.66,6.22,21.49
4.77,1.58,15.88,6.58,14.93,6.54,24.93,-0.21,2.56,21.6
5.9,0.68,16.45,4.61,14.92,6.89,24.47,-1.27,5.24,21.72
4.5,1.23,15.52,5.11,14.67,7.75,23.4,-0.58,3.99,20.7
4.49,-0.72,15.18,5.17,15.61,11.43,22.3,-0.11,6.63,19.74
6.1,1.67,13.77,5.11,16.24,12.75,22.3,2.4,8.47,19.91
6.72,3.93,13.01,6.31,16.54,10.81,21.71,4.35,8.06,20.74
5.95,4.07,11.31,6.16,16.7,13.55,23.4,3.85,7.93,20.96
8.16,5.98,10.7,4.53,19.74,14.41,23.87,6.65,9.81,20.22
5.0,5.73,10.32,6.07,25.61,13.45,23.77,7.47,7.46,19.79
8.23,4.64,11.15,10.27,18.9,13.66,23.69,5.02,10.09,19.87
8.59,5.34,12.84,8.05,27.88,12.97,23.86,6.59,9.63,20.62
6.6,4.74,14.46,7.85,17.62,11.02,24.28,1.84,7.62,19.89
6.82,2.25,12.17,6.86,15.24,11.55,24.49,2.11,7.92,20.35
6.96,4.64,11.95,6.86,15.83,9.84,25.11,3.21,7.41,21.78
6.74,4.77,10.65,8.16,18.07,11.18,25.06,3.12,9.28,21.57
6.58,3.65,9.79,3.92,19.81,9.45,24.5,3.21,6.4,21.81
4.83,3.35,9.14,6.17,17.25,9.14,23.64,1.9,4.84,21.34
2.41,1.7,7.52,6.18,19.06,9.09,22.77,0.31,7.67,20.61
0.66,-1.17,7.48,6.88,24.14,7.93,23.05,-2.01,3.83,19.53
1.83,-1.21,8.9,4.97,24.03,7.09,22.8,-2.98,0.33,19.94
3.49,1.01,8.55,5.3,28.24,7.35,22.35,-0.56,-0.58,19.75
4.88,2.73,8.04,6.53,17.46,8.76,19.94,0.84,-0.78,17.9
0.89,0.51,10.65,3.38,18.42,6.85,19.39,0.01,1.95,17.41
2.78,-1.05,12.48,7.04,18.89,6.98,20.29,-0.7,4.84,18.07
6.71,2.77,14.64,6.24,22.59,9.47,19.84,0.89,6.97,17.3
6.42,2.59,13.88,3.96,20.2,9.05,19.41,1.68,3.88,16.71
6.14,0.44,12.81,5.33,14.85,6.52,20.86,-0.02,4.1,17.09
5.01,1.88,13.7,6.36,15.04,8.87,22.83,-0.67,2.28,18.91
6.13,0.5,14.59,8.48,18.3,8.65,23.42,0.26,6.58,20.29
8.23,4.36,13.18,9.52,19.39,8.83,22.38,0.75,9.7,19.62
9.43,6.79,9.67,10.09,23.74,9.33,20.25,5.15,9.87,17.67
6.75,7.63,8.99,4.22,21.19,8.95,22.23,2.74,5.6,18.46
5.18,2.71,10.4,7.64,15.94,6.78,23.27,1.24,2.94,18.88
6.43,2.1,13.13,8.24,16.67,6.39,22.99,-0.43,4.76,19.33
6.32,4.68,14.82,7.81,21.87,6.07,22.67,1.45,6.51,19.26
9.05,4.5,14.25,9.35,23.22,10.95,21.81,0.91,7.62,18.93
8.3,6.91,13.32,7.65,24.35,11.23,19.85,1.53,7.51,17.62
6.34,4.89,12.64,7.87,16.9,10.21,18.86,3.23,7.19,15.51
6.94,3.77,12.85,6.39,17.97,11.14,17.25,2.53,6.59,14.9
5.24,4.15,12.95,2.62,20.83,7.04,19.59,0.77,3.14,17.57
5.08,1.9,11.06,1.15,21.6,6.12,21.51,-1.5,2.58,18.97
4.33,1.15,11.01,0.54,18.15,5.93,23.08,-2.04,1.65,19.89
3.66,1.02,13.13,1.95,16.93,7.26,23.23,-2.94,-0.79,20.94
5.12,2.26,12.91,4.54,21.64,10.32,23.73,-1.69,-1.38,21.01
4.24,1.55,11.36,5.21,16.57,10.6,24.22,-2.54,-0.73,20.94
2.3,-0.82,11.46,4.62,17.75,10.36,24.57,0.84,-0.16,20.86
1.72,-0.36,11.77,4.38,20.05,9.84,24.86,2.43,3.62,21.69
4.46,-0.34,14.12,7.58,18.79,9.93,24.51,2.17,4.92,21.55
6.68,3.06,15.98,6.44,17.7,7.9,23.5,3.06,7.2,20.56
5.31,4.29,14.23,3.55,18.84,8.95,22.11,1.7,5.39,17.96
5.38,3.5,13.94,4.4,20.43,8.39,20.4,0.74,5.13,17.18
7.17,4.08,12.01,8.44,26.96,8.55,19.28,2.19,7.84,16.41
9.07,8.56,11.83,9.61,29.23,11.09,19.64,8.11,10.73,17.22
9.07,9.35,12.39,8.59,21.89,10.44,21.0,8.34,11.32,17.76
7.74,5.98,11.46,8.99,18.1,12.41,22.57,8.94,12.3,18.93
8.09,6.36,12.08,7.65,14.93,13.27,22.95,7.44,10.68,19.61
5.52,4.11,12.61,5.03,14.89,9.86,22.61,3.63,5.61,19.43
5.05,1.96,12.66,3.41,15.29,7.62,22.22,-0.93,4.72,19.16
5.66,2.55,12.14,2.58,19.16,7.89,21.75,-2.33,3.04,18.78
3.53,4.33,12.41,4.56,20.29,10.19,20.82,-0.98,3.37,17.53
5.08,2.52,11.94,7.39,21.99,10.78,21.98,1.18,6.35,18.14
8.27,6.83,12.83,9.63,21.06,10.41,23.85,2.78,9.44,20.03
7.27,7.37,13.52,6.05,21.31,12.71,25.4,7.16,9.62,21.45
5.57,3.5,14.23,3.82,21.01,11.79,26.13,3.94,5.53,22.02
5.07,3.05,15.65,3.93,21.44,8.59,26.9,1.52,4.77,22.64
4.2,2.53,18.71,6.3,23.02,9.07,26.44,2.54,7.02,22.14
6.2,3.1,17.74,6.74,24.66,9.78,25.75,3.82,8.23,21.64
8.63,4.46,15.62,10.67,18.77,8.68,25.28,2.66,9.12,21.61
10.4,9.25,16.12,9.4,19.5,11.77,25.72,6.09,12.41,23.04
7.7,8.09,16.46,6.48,20.17,11.73,26.84,7.47,8.11,23.26
6.98,5.85,16.31,5.76,18.97,8.57,27.1,3.58,6.55,23.11
5.78,4.36,18.39,5.01,16.11,8.54,26.96,1.28,6.92,23.55
7.43,3.18,19.08,6.86,15.32,8.77,26.63,2.21,7.47,23.32
6.98,5.01,17.18,6.4,15.6,9.79,26.1,2.21,4.96,23.02
8.6,6.9,17.31,9.15,15.67,9.89,26.87,5.09,7.5,23.78
7.47,6.44,19.26,9.25,20.87,11.62,27.07,8.81,11.11,24.18
6.71,4.2,18.91,8.31,21.57,12.72,26.68,6.17,10.7,23.72
5.97,7.2,18.45,4.55,21.1,10.02,26.54,6.32,7.89,22.54
4.09,3.07,18.91,3.19,15.17,8.6,26.5,1.87,4.14,22.38
2.89,3.09,18.11,2.74,15.15,9.51,26.99,1.08,3.44,22.72
4.66,2.52,19.58,5.23,16.27,9.7,27.15,-0.18,4.34,23.21
7.68,5.07,19.94,6.73,17.3,12.3,27.14,3.51,8.19,23.59
6.11,5.47,20.47,4.96,20.88,10.44,26.82,5.02,5.62,23.99
4.63,5.41,20.93,4.88,15.12,10.79,26.89,4.59,4.8,23.39
4.93,3.62,21.0,3.78,15.34,7.68,25.3,1.72,3.34,21.89
5.81,3.01,21.23,3.61,18.43,8.85,25.02,0.99,4.58,20.76
4.84,4.3,20.19,4.6,17.98,11.35,24.73,2.29,8.64,20.99
5.84,4.79,17.96,3.93,16.33,8.21,24.76,3.84,5.27,20.6
6.3,3.69,18.0,6.26,16.55,8.86,24.64,1.61,5.93,20.62
7.68,4.79,18.14,8.52,15.98,9.94,24.62,2.97,7.68,21.9
7.07,6.58,17.52,6.66,14.75,9.81,25.22,3.26,7.2,21.99
8.96,5.37,18.18,11.2,15.81,10.52,25.52,3.28,11.25,21.84
9.18,9.1,19.97,10.0,19.82,14.09,24.68,9.36,12.82,21.2
7.99,8.75,21.01,6.11,20.62,13.88,23.81,10.0,9.27,20.33
6.42,4.92,20.02,6.49,18.13,11.91,23.36,5.3,6.43,20.06
6.71,1.87,16.97,8.28,13.83,10.19,25.04,3.18,6.88,21.56
8.74,3.89,17.73,8.1,14.49,10.87,27.42,5.08,9.22,24.3
7.38,7.01,19.27,5.65,16.66,12.53,29.76,7.51,8.05,26.51
7.56,7.98,20.39,7.51,19.06,12.51,30.6,7.64,10.01,27.94
8.11,9.28,21.42,10.03,21.06,12.54,30.41,10.09,11.98,27.39
7.64,9.58,22.65,6.93,22.31,12.42,28.37,10.11,12.51,25.18
6.28,6.46,23.72,6.15,16.9,11.88,27.38,10.75,11.43,23.76
4.38,2.88,24.72,4.89,15.1,11.76,27.31,3.37,6.37,23.95
3.73,0.22,24.18,4.64,14.58,12.78,28.81,-0.16,5.64,25.47
3.54,-0.39,23.77,4.43,13.69,11.74,29.98,-2.55,3.66,26.99
4.2,0.5,24.48,5.2,13.83,8.94,30.81,-1.85,3.12,28.17
4.34,1.36,25.36,4.25,14.38,7.72,31.32,-1.36,3.72,27.6
4.66,2.85,24.0,4.71,15.32,7.38,30.64,0.92,3.44,26.43
6.4,6.8,22.54,5.87,18.5,10.44,30.39,5.5,6.25,27.3
6.64,6.36,22.74,5.77,20.04,13.15,30.63,7.26,8.32,27.47
4.12,1.85,23.1,3.68,19.33,12.13,31.31,4.43,4.22,28.65
4.61,-0.87,22.86,4.12,16.27,9.54,30.81,-0.27,2.72,28.7
3.97,0.57,23.69,4.93,15.96,9.52,29.73,-0.29,4.89,28.04
4.5,2.52,25.71,4.43,16.5,10.46,30.08,1.07,4.5,28.38
6.64,5.36,24.36,7.03,16.52,10.45,31.18,5.14,4.92,28.58
6.11,5.34,23.15,7.51,17.06,11.49,31.03,4.6,8.47,29.16
7.29,5.92,23.96,7.97,12.67,11.36,30.47,6.44,9.79,28.74
9.89,7.48,25.81,11.17,12.17,11.94,30.33,7.53,11.41,28.66
11.33,10.38,26.62,11.14,12.57,12.42,29.48,10.46,11.68,27.16
11.24,11.24,26.81,10.36,13.19,13.26,29.33,11.73,13.68,26.64
12.83,12.26,25.96,13.01,13.83,13.52,28.63,12.43,15.74,25.39
11.09,10.84,25.51,12.23,14.48,14.48,28.94,13.24,16.33,26.27
9.44,8.05,27.89,12.52,15.73,14.42,30.82,13.42,15.53,28.48
12.12,8.08,29.14,14.19,13.19,13.59,32.64,12.88,16.46,30.33
12.69,12.02,28.96,14.73,12.51,13.63,33.06,13.75,16.59,30.82
7.13,6.84,30.33,6.93,13.66,12.75,32.68,11.22,10.94,30.82
6.57,5.04,32.34,5.82,15.52,15.01,32.97,2.39,6.37,30.94
8.67,7.34,31.98,8.09,16.75,13.61,33.34,6.05,9.53,31.72
10.95,10.07,30.81,10.71,15.04,14.11,32.41,11.97,15.1,30.78
9.25,9.86,29.68,9.31,12.92,14.12,32.09,15.25,16.96,30.41
10.11,8.56,29.8,9.48,12.59,15.04,32.59,15.06,15.92,30.91
10.26,6.98,28.88,9.29,12.65,14.26,33.08,13.16,13.46,31.26
10.28,8.07,24.65,9.99,14.03,14.7,33.14,10.29,13.97,31.59
11.42,9.36,27.72,10.84,13.73,14.26,31.75,9.78,13.62,29.95
12.66,10.66,28.48,11.52,13.47,14.41,31.95,9.83,13.99,29.52
13.54,13.27,28.45,12.75,13.54,16.02,32.04,10.77,15.74,29.37
10.78,13.19,30.77,11.87,14.93,16.17,31.38,12.55,16.54,28.95
9.04,10.06,31.94,9.42,14.61,15.47,30.84,11.49,12.69,27.91
10.07,11.2,30.15,10.71,13.95,16.07,31.06,10.81,12.05,28.3
11.67,14.09,28.01,11.41,11.65,15.78,31.34,12.28,15.53,28.82
9.4,15.28,28.88,7.62,12.28,15.71,32.92,11.98,14.23,30.91
10.65,12.68,30.99,8.96,14.43,15.0,33.07,8.45,12.06,30.86
10.94,12.59,31.94,8.72,10.44,15.62,32.11,10.11,10.59,30.22
10.09,11.76,32.37,9.13,9.42,16.66,31.5,8.84,10.87,29.78
9.87,9.68,32.65,10.32,11.12,18.04,31.76,8.17,10.83,29.77
11.22,10.47,31.26,10.76,11.5,19.1,32.24,8.1,11.86,30.06
10.26,9.37,30.68,11.18,11.72,18.13,31.63,11.63,13.48,29.53
8.86,6.92,31.56,8.92,12.74,19.52,32.39,8.42,11.41,29.72
9.95,9.76,31.67,9.85,13.07,20.37,33.02,7.44,12.74,30.86
11.67,10.38,30.16,12.49,15.16,17.98,32.52,10.88,13.53,31.05
14.99,14.06,32.75,14.95,13.32,17.78,32.0,16.02,15.42,30.05
15.93,16.21,33.4,14.87,10.49,17.17,32.31,16.19,16.2,30.7
11.53,16.72,30.98,11.13,9.54,16.4,32.27,15.35,16.55,30.81
7.95,7.11,30.14,6.85,11.11,15.18,32.51,12.0,8.5,30.59
8.38,6.74,31.41,7.91,11.11,15.96,32.02,5.8,8.22,29.81
7.66,9.4,32.66,7.17,10.17,16.43,31.89,8.0,9.28,30.2
7.84,9.0,33.67,7.46,10.68,16.62,33.32,8.1,8.95,30.96
9.29,9.77,33.41,10.28,10.69,16.85,32.91,5.91,9.83,28.72
10.12,11.08,33.13,10.7,10.02,16.54,32.33,9.53,11.41,28.8
12.23,12.85,34.34,12.58,10.14,18.07,32.18,13.04,12.83,29.02
13.44,14.83,34.03,14.35,10.87,19.32,32.13,15.1,14.37,27.97
14.66,14.31,33.72,16.43,12.37,20.72,31.71,16.22,15.39,28.36
15.97,14.34,33.12,17.52,12.12,21.58,31.8,14.13,18.29,29.37
18.02,14.61,34.13,17.63,10.15,22.89,32.21,15.73,20.69,29.92
16.25,16.14,36.52,15.4,9.89,21.39,32.42,16.94,18.54,30.09
14.19,15.29,38.66,13.05,10.68,21.13,32.5,14.64,14.12,30.64
13.68,12.17,38.32,14.74,10.6,18.99,32.72,10.69,14.0,30.81
14.48,11.53,37.83,16.51,9.91,20.65,32.74,11.44,15.86,30.98
14.98,14.18,38.37,16.98,9.97,21.38,32.17,11.27,17.22,30.51
14.7,15.91,38.92,16.75,11.42,19.95,31.7,12.9,17.75,29.58
13.58,14.24,36.75,14.07,11.41,20.34,31.75,11.54,16.28,29.06
14.24,14.31,34.91,14.24,10.49,20.4,31.95,10.36,16.08,28.95
16.04,13.2,31.65,15.32,11.18,18.94,31.94,10.46,16.84,29.17
15.74,15.36,29.66,15.69,11.9,19.17,31.52,10.69,16.32,27.32
16.96,16.57,31.02,16.19,10.16,18.71,31.31,14.04,17.83,26.25
18.51,18.99,31.92,16.3,10.68,20.23,29.82,15.59,20.4,25.16
16.72,18.63,33.32,14.65,10.63,20.84,27.43,16.58,17.55,24.7
12.55,17.93,31.8,11.93,10.33,19.07,27.52,14.28,12.9,24.33
10.46,14.79,31.1,11.38,9.02,18.01,28.31,12.5,12.71,25.07
11.68,13.44,31.45,9.83,9.35,19.57,28.56,14.73,12.75,24.98
12.87,14.83,32.46,11.53,8.55,18.05,28.16,11.18,13.55,25.46
13.78,16.21,33.31,12.06,9.93,17.37,28.03,10.61,13.56,24.93
12.39,17.64,35.16,13.24,8.4,17.46,27.18,11.63,13.32,24.13
14.08,16.9,36.36,12.7,9.29,18.1,27.66,12.79,13.95,24.58
15.6,17.82,36.53,13.82,9.35,17.9,28.43,13.89,16.05,24.55
18.77,21.24,37.27,15.1,9.52,19.22,28.2,17.36,14.99,25.45
19.43,22.15,36.62,16.9,10.94,19.23,27.44,19.0,16.33,24.52
17.31,21.33,36.06,16.28,11.49,19.21,28.01,13.92,16.87,25.34
17.58,19.9,36.41,16.65,12.93,19.77,27.91,13.25,16.87,25.06
17.59,21.11,36.84,16.71,12.77,19.34,27.3,15.29,16.6,24.81
18.45,23.16,36.2,17.3,9.78,18.66,28.0,16.28,15.97,25.0
17.72,21.54,36.92,14.85,8.81,18.86,27.89,15.17,16.03,24.8
17.35,18.02,37.8,14.71,11.47,19.89,28.42,13.27,16.11,25.45
17.26,17.22,37.92,15.94,11.74,21.4,28.22,13.7,18.14,25.04
17.75,18.25,35.59,16.46,8.9,21.97,27.89,15.16,17.52,24.84
17.37,19.82,34.3,15.46,9.6,23.25,28.34,16.98,16.87,25.06
19.34,18.76,34.31,18.29,10.83,23.28,28.27,18.01,20.22,25.32
21.07,20.19,33.17,20.83,11.68,22.4,28.29,17.23,22.36,25.55
21.98,22.71,34.7,21.41,10.25,22.66,28.64,16.25,24.08,26.31
22.52,22.74,34.31,20.75,9.09,22.89,27.52,19.44,23.7,24.34
20.49,24.59,37.26,16.57,9.39,23.11,27.8,21.02,20.28,25.21
17.07,22.01,37.44,15.02,8.15,25.11,28.14,20.51,18.3,25.1
16.39,19.6,37.66,14.61,7.86,24.28,28.24,16.5,17.44,25.27
16.41,18.69,35.02,15.53,8.63,24.01,27.09,18.33,18.54,24.09
17.86,20.68,36.08,16.44,10.67,24.14,27.28,20.73,20.09,24.16
16.98,20.47,36.19,15.74,10.01,24.04,27.92,19.14,17.2,24.92
16.72,19.55,36.94,15.74,7.79,21.89,27.1,16.74,17.31,23.59
17.09,21.26,37.1,17.75,9.56,23.07,27.12,18.2,18.81,24.19
18.03,23.31,31.4,17.07,10.69,26.24,26.79,19.79,20.36,23.97
14.76,17.94,33.47,15.14,10.13,24.42,27.61,17.0,15.88,24.92
14.97,16.54,29.93,15.43,9.41,23.5,27.3,14.43,16.96,24.3
15.8,15.49,31.14,17.04,8.77,23.92,27.44,16.64,18.64,24.38
16.68,17.21,33.49,17.23,8.87,24.71,27.39,19.56,22.02,24.59
14.83,18.39,35.76,14.68,9.51,25.09,27.4,20.92,17.61,24.31
14.9,15.85,34.82,14.75,9.65,25.33,27.37,14.99,16.53,24.55
15.9,16.4,33.47,16.8,9.67,24.45,26.69,14.9,17.5,24.18
17.23,19.1,34.0,16.94,9.93,25.39,26.73,15.23,19.09,24.08
15.79,22.31,35.47,16.63,9.28,24.52,27.29,17.22,17.94,24.66
16.07,16.34,34.56,15.69,9.1,22.56,26.28,15.49,17.91,23.71
16.34,16.42,33.74,17.8,8.11,23.05,26.02,14.17,17.6,22.8
18.34,17.55,32.7,20.18,7.86,23.5,26.64,14.56,19.91,23.78
19.2,21.72,33.22,18.69,7.65,25.0,27.08,15.71,21.03,24.56
17.72,24.4,32.57,16.57,9.63,24.32,27.19,18.16,21.08,24.51
15.85,20.53,33.67,15.45,9.18,23.67,26.64,20.76,18.95,23.96
15.41,17.79,31.48,15.43,9.24,24.09,26.81,20.03,17.46,24.24
15.96,17.59,28.55,17.46,8.88,25.77,27.01,19.73,17.38,24.67
17.84,19.03,30.15,17.55,8.89,26.94,27.07,19.82,18.81,24.14
17.9,21.02,30.61,18.99,6.96,27.09,26.44,17.15,19.99,23.78
18.57,20.47,30.51,17.88,6.58,26.19,26.11,18.72,20.65,23.12
18.02,19.39,30.7,17.2,8.0,26.69,26.56,18.13,19.82,23.87
18.62,21.11,32.87,17.86,10.27,25.54,26.74,20.73,22.37,23.88
17.22,22.17,33.66,16.18,9.91,26.13,26.68,22.53,19.28,23.81
16.35,18.93,32.25,16.8,9.71,28.14,26.67,20.13,18.4,23.92
18.76,17.9,29.33,19.4,9.95,26.82,27.03,22.45,22.15,24.12
21.77,20.2,30.84,22.28,9.8,26.93,26.58,24.38,26.16,23.61
19.94,22.71,31.59,19.76,9.92,30.37,26.9,24.35,22.67,24.21
17.77,20.81,31.96,17.71,9.62,26.86,27.18,20.06,19.16,24.22
16.35,18.55,32.62,16.88,8.78,24.61,27.08,16.23,17.19,24.24
17.14,18.43,32.75,17.0,6.28,23.38,26.91,12.67,18.52,23.86
20.27,21.3,31.51,19.05,8.45,24.02,26.78,14.36,22.26,23.85
21.97,23.29,31.28,21.48,8.22,25.17,26.34,17.45,24.77,22.98
24.04,26.57,31.24,24.19,7.79,24.54,27.03,20.25,26.3,24.39
24.29,29.25,32.28,23.36,10.26,26.7,26.85,21.96,28.07,24.04
23.56,28.58,32.29,22.92,9.59,24.84,26.71,22.18,29.67,23.85
24.19,25.43,30.59,23.39,9.19,24.78,26.44,22.34,27.8,23.64
24.92,26.1,29.26,25.2,8.31,25.12,26.44,22.61,28.35,23.62
25.15,25.14,30.92,24.43,11.02,24.89,26.13,22.72,26.67,23.32
24.73,24.15,29.18,22.73,11.74,25.76,25.89,20.17,23.2,23.19
23.81,22.3,28.63,20.1,11.11,26.69,26.06,19.46,21.41,23.49
22.85,24.32,29.72,20.41,10.66,26.19,26.1,19.48,21.98,23.49
22.65,24.88,30.54,19.61,10.31,25.23,26.02,20.07,20.57,23.31
20.51,25.15,31.06,18.26,10.34,24.92,25.88,17.56,19.1,23.06
19.56,20.29,30.52,18.72,10.58,25.28,26.06,16.9,20.22,23.46
20.66,21.32,29.98,18.2,8.68,25.11,26.33,18.03,21.03,23.66
22.58,24.98,27.99,20.27,9.72,25.13,25.79,20.99,24.71,23.2
22.4,28.23,28.19,19.29,8.36,25.57,26.08,24.32,23.19,23.28
19.51,23.02,28.34,17.85,7.9,26.78,26.5,19.36,20.06,23.95
18.16,20.9,28.36,17.37,8.75,25.12,26.4,17.55,18.13,23.88
17.35,18.1,28.8,16.7,8.12,24.69,26.45,15.76,18.13,23.62
17.71,18.35,29.16,17.83,7.8,24.57,26.41,17.39,20.57,23.49
17.25,18.15,29.85,17.67,8.6,26.63,26.25,18.81,18.74,23.4
16.77,16.84,29.39,15.93,10.61,26.73,25.99,15.53,19.09,22.97
17.04,17.22,29.63,14.65,9.71,23.81,25.99,17.31,16.94,23.22
15.94,18.16,29.0,13.27,10.59,19.14,25.61,13.38,14.82,22.91
16.27,17.87,28.07,13.77,11.8,19.46,25.89,12.9,15.34,23.07
15.41,17.43,28.69,13.8,8.62,19.78,26.29,12.96,15.05,23.53
15.61,14.81,29.55,14.61,9.29,20.14,26.29,12.29,15.13,23.64
16.05,14.01,28.85,14.99,12.07,21.16,26.33,12.83,15.61,23.73
16.52,16.26,29.11,17.92,12.31,21.3,26.68,14.37,19.82,24.28
17.27,18.39,29.77,15.44,10.07,20.82,27.74,18.08,20.47,25.21
14.99,15.53,29.96,13.67,11.03,21.64,28.23,19.3,16.29,25.79
14.56,14.34,29.44,14.08,10.93,22.43,28.66,14.33,14.72,25.84
16.3,14.38,29.98,14.68,13.79,20.78,27.93,13.44,15.97,25.54
17.81,16.49,29.8,19.06,14.59,22.93,27.1,14.42,18.89,24.67
17.2,19.53,30.15,16.88,9.88,21.98,26.11,17.02,20.47,24.1
15.51,15.87,30.66,13.72,11.53,21.51,26.57,16.64,19.11,23.64
15.15,16.92,31.0,14.01,12.95,23.92,26.72,17.12,19.19,23.9
15.94,17.76,30.31,15.45,12.7,25.53,27.06,18.94,16.52,24.16
17.46,18.06,30.83,16.76,11.89,24.76,26.37,18.63,18.73,23.54
19.01,21.53,30.43,17.76,11.22,23.84,25.41,18.69,22.64,22.52
21.85,22.82,30.64,19.97,10.82,23.03,25.17,19.95,24.33,22.47
18.16,21.8,31.47,18.88,12.6,24.59,25.49,19.04,22.23,22.89
14.79,14.89,31.74,14.81,11.39,24.99,25.94,17.26,18.91,23.28
14.1,13.03,31.88,15.02,13.16,22.9,25.93,13.21,20.04,22.7
14.48,14.08,31.84,16.58,16.61,22.96,26.38,14.8,21.7,23.27
14.22,15.26,30.74,16.89,16.68,22.18,26.7,16.19,20.76,23.65
15.69,16.24,31.06,16.84,13.89,21.26,26.47,17.01,17.2,23.88
16.64,18.57,31.44,17.54,12.0,19.7,26.51,17.71,16.9,23.46
16.95,19.47,30.75,15.06,10.35,20.39,25.94,14.71,17.34,23.38
14.75,17.37,31.27,10.91,9.73,20.05,26.79,14.93,13.2,24.36
12.18,13.36,30.79,9.95,7.7,14.67,26.22,8.43,10.85,23.21
13.31,9.81,29.91,9.15,9.71,12.97,26.05,5.52,10.9,22.48
15.02,9.31,29.53,10.92,9.63,11.71,26.07,8.31,12.64,22.78
15.59,12.22,29.76,12.1,9.39,15.02,26.42,6.91,12.45,23.03
15.43,13.73,28.48,13.64,11.56,15.29,26.12,8.16,15.09,22.85
14.88,13.94,28.03,13.57,13.24,16.46,26.14,11.18,15.4,23.09
13.61,13.02,28.45,11.69,12.0,17.52,26.02,12.35,13.32,23.33
12.9,14.09,28.83,11.95,16.35,15.42,26.73,13.98,11.66,23.79
12.76,16.14,28.11,12.85,19.45,13.77,27.37,12.8,10.73,24.59
11.97,13.04,27.33,8.97,16.26,14.26,26.78,10.28,11.1,23.97
11.7,10.85,27.6,11.45,9.91,14.03,26.83,9.56,12.07,23.84
13.22,11.96,27.62,12.34,10.04,15.8,26.18,10.29,12.51,22.86
13.08,12.02,27.71,11.32,14.05,15.69,27.54,9.04,12.97,24.02
13.27,11.51,27.6,13.92,14.22,16.39,27.61,10.6,14.88,24.45
11.83,12.75,27.6,9.36,11.89,16.54,27.93,12.52,13.36,24.26
9.85,9.68,27.68,8.26,12.32,15.53,28.3,8.67,10.17,24.41
10.73,7.45,27.51,8.56,11.12,12.55,27.88,5.1,9.69,23.58
11.05,7.56,27.78,8.63,14.28,12.79,27.27,4.89,9.66,23.38
9.69,8.12,28.36,8.61,13.18,12.03,28.16,4.86,8.91,24.59
10.12,9.51,28.21,9.91,14.07,11.49,27.78,3.86,8.88,23.87
9.7,9.86,28.03,9.1,15.88,11.63,26.77,4.97,8.3,23.91
8.77,8.39,26.93,8.69,12.33,11.95,27.29,5.7,9.19,24.04
9.75,8.05,27.0,9.3,13.95,12.53,26.7,5.45,9.23,23.4
9.83,6.82,25.98,8.79,10.99,12.28,26.28,5.6,9.16,23.52
9.62,7.51,24.85,9.95,11.21,12.47,25.74,6.23,8.96,23.54
10.73,7.53,24.93,13.98,11.72,15.42,27.01,7.66,12.52,24.55
13.99,10.95,26.22,13.71,12.07,16.47,27.55,11.12,15.69,25.24
12.76,14.68,26.75,11.81,12.82,16.93,27.08,12.63,14.46,24.28
12.15,13.0,25.81,11.09,15.99,17.09,26.77,13.22,13.54,23.42
12.99,11.94,24.87,12.15,12.16,14.95,27.32,10.25,13.45,23.42
11.73,11.51,24.74,9.93,10.47,15.05,27.27,9.0,10.92,23.75
9.62,10.34,24.34,8.82,11.84,12.71,26.99,6.23,9.49,22.97
10.25,8.5,23.01,8.99,12.68,12.69,26.66,4.58,10.21,23.13
10.42,9.16,22.76,9.01,14.24,14.09,26.22,5.56,10.54,22.71
11.32,9.0,22.45,10.78,15.3,14.44,25.85,7.51,11.88,21.98
13.5,10.81,22.44,13.95,14.66,15.92,25.9,9.18,12.42,22.1
12.89,13.04,22.07,11.77,13.53,14.34,25.41,9.73,12.36,21.89
13.08,11.27,21.21,13.73,12.8,13.69,25.78,9.21,15.34,22.61
14.73,15.74,21.0,12.67,17.64,14.53,26.55,14.18,14.82,22.14
9.92,10.59,21.61,7.18,20.11,14.24,26.45,11.22,7.46,21.81
9.21,6.69,21.75,5.41,15.84,12.26,25.46,6.72,4.99,21.79
8.86,5.98,21.59,5.47,11.72,13.4,24.84,5.48,5.02,20.65
8.28,8.56,21.81,5.52,12.08,14.31,23.71,4.35,5.98,19.3
7.05,5.69,21.54,8.34,11.63,16.08,23.75,5.83,10.48,20.14
8.92,4.95,21.23,10.89,13.45,16.06,24.75,7.48,11.96,21.14
